Funds,Fund_Manager,Category,AUM_Cr,Expense_Ratio,Fund_Type,Inception_Date,Benchmark_Index,Return_1M,Return_3M,Return_6M,Return_1Y,Return_2Y,Return_3Y,Return_5Y,Return_10Y,Large_Cap,Mid_Cap,Small_Cap,Highest_Sector,Alpha,Sharpe,Sortino,Beta,Standard_Deviation,Fund_Age_Years,Avg_Return,Expense_vs_Return_1Y,AUM_Category,Return_to_Expense,Risk_Category,Return_to_Risk,Positive_Alpha_Beta_Less1,Risk_Adjusted_Performance,High_Expense_Low_Return,High_NAV_Volatility,Top_Performer,Young_Fund,Efficient_Fund,ShortTerm_Return,LongTerm_Return
360 One Balanced Hybrid Fund Reg(G),Mayur Patel,Hy Eq,860.1,1.94,Open Ended,25-09-2023,Nifty 50 Hybrid Composite Debt 50 - 50 Index,0.09,-1.45,1.83,16.18,,,,,22.23,6.91,13.13,Financials,8.27,1.58,2.28,1.2,7.5,2.06,16.18,0.12,Large,8.34,Medium,,FALSE,1.93,0,0,1,1,1,0.16,
360 One Dynamic Bond Fund Reg(G),Milan Mody,Dt Dyn,737.5,0.52,Open Ended,24-06-2013,Crisil Dynamic Bond Index,0.56,1.18,4.7,9.62,8.13,6.6,6.7,6.82,,,, ,3.5,3.72,6.7,0.64,1.45,12.32,7.44,0.05,Large,18.5,Low,4.55,TRUE,5.21,0,0,0,0,1,2.15,6.71
360 One Elss Tax Saver Nifty 50 Index Fund Reg(G),Parijat Garg,Eq Elss,75.8,0.52,Open Ended,28-12-2022,Nifty 50 Tri,-1.64,-7.88,-1.39,9.91,15.78,,,,97.98,1.24,,Financials,1.51,0.47,0.71,0.99,13.9,2.8,9.91,0.05,Small,19.06,Medium,,TRUE,0.59,0,1,0,1,1,-3.64,
360 One Flexicap Fund Reg(G),Mayur Patel,Eq Flex,1254.2,2.08,Open Ended,30-06-2023,Bse 500 Tri,-0.61,-5.71,0.43,27.02,,,,,48.74,17.75,28.15,Financials,16.98,1.4,2.02,0.92,15.45,2.3,27.02,0.08,Large,12.99,High,,TRUE,1.71,0,1,1,1,1,-1.96,
360 One Focused Equity Fund Reg(G),Mayur Patel,Eq Mlc,7305,1.78,Open Ended,30-10-2014,Bse 500 Tri,-2.79,-8.69,-4.21,14.9,22.71,14.5,20.21,15.71,67.69,10.53,17.9,Financials,6.25,0.71,1,1.02,16.03,10.97,16.33,0.12,Mega,8.37,High,0.9,FALSE,0.86,0,1,1,0,1,-5.23,16.81
360 One Liquid Fund Reg(G),Milan Mody,Dt Liq,772.9,0.25,Open Ended,13-11-2013,Crisil Liquid Debt Index,0.58,1.71,3.47,7.19,7.04,6.27,5.03,5.9,,,, ,1.61,10.39,12.82,,0.16,11.93,6.1,0.03,Large,28.76,Low,39.19,FALSE,11.6,0,0,0,0,1,1.92,5.73
360 One Quant Fund Reg(G),Parijat Garg,Eq Them,604.7,1.83,Open Ended,29-11-2021,Bse 200 Tri,-1.03,-9.99,-2.28,21.82,33.9,22.83,,,60.76,37.72,,Financials,12.78,0.96,1.37,1.1,19.17,3.88,22.32,0.08,Large,11.92,High,1.19,FALSE,1.16,0,1,1,1,1,-4.43,22.83
Aditya Birla Sl Active Debt Multi Mgr Fof(G),Kaustubh Gupta,Fof Dom,10.3,0.54,Open Ended,28-12-2006,Crisil Composite Bond Index,0.43,1.13,3.91,7.84,7.32,5.87,6.21,6.77,,,, ,2.6,2.17,3.78,0.4,1.74,18.81,6.67,0.07,Small,14.52,Low,3.37,TRUE,2.97,0,0,0,0,1,1.82,6.28
Aditya Birla Sl Arbitrage Fund(G),Lovelish Solanki,Hy Arb,13843.7,1.01,Open Ended,24-07-2009,Nifty 50 Arbitrage Tri,0.66,1.83,3.45,7.45,7.32,6.24,5.31,5.84,51.67,15.08,3.69,Financials,3.53,3.35,7.38,-0.08,0.99,16.24,6.21,0.14,Mega,7.38,Low,6.3,TRUE,5.36,0,0,0,0,1,1.98,5.8
Aditya Birla Sl Asset Allocator Fof(G),Vinod Narayan Bhat,Fof Dom,187.4,1.25,Open Ended,17-08-2006,Crisil Hybrid 50+50 Moderate Index,0.06,-3.86,1.62,16.57,19.86,13.36,16.02,11.93,,,, ,7.41,1.1,1.54,1.81,11.67,19.18,14.47,0.08,Mid,13.26,Medium,1.14,FALSE,1.32,0,1,1,0,1,-0.73,13.77
